t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft
6000,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
6600,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999991,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
7200,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
7800,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999988,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
8400,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
9000,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999988,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
9600,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
10200,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.416499999999836,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
10800,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
11400,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999981,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
12000,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
12600,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999977,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
13200,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
13800,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999974,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
14400,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
15000,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999974,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
15600,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-86.33200477447754,35000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
16200,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.41649999999973,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222802,-85.61200477447747,25000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
16800,39.623398502245834,-81.84491920341289,30000.0,39.420803726041754,-82.26162697454477,33000.0,40.67293769914379,-80.78294659688842,28000.0,39.47205927101589,-82.13960435159959,33000.0,42.0441758554957,-86.34510770411295,33000.0,39.45813553631476,-82.1689642014037,35000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.51440867084101,-80.36900690435426,30913.210603268748,40.15281539706761,-81.17638126583903,38000.0,42.0441530289793,-86.34510601613685,31000.0,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,40.5125,-85.74889,29000.0,41.87180481222804,-85.0175,15000.0,42.514607664330704,-80.3690362175323,33827.06883597506,43.267220235519794,-86.15853088074897,27000.0,42.95225280593826,-80.44966189445813,26000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.23259262464273,-86.17093165012358,33000.0,42.728090982247146,-80.40067582986097,30000.0
