region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon,t_minutes,shift_meters
1,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
13,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
14,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
18,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
25,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
29,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
33,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
34,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
49,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
60,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
66,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
72,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
86,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
87,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
88,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
90,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
106,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
113,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
119,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
124,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
126,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
140,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
149,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
150,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
151,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
172,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
177,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
178,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
180,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
182,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
191,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
210,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
212,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
216,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
220,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
221,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
225,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
230,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
233,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
242,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
255,0,1.2561671827606575,1.2561671827606575,0.0,0.0,1.2561671827606575,0.0,30,138900.0
