t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft,f21_lat,f21_lon,f21_alt_ft,f22_lat,f22_lon,f22_alt_ft,f23_lat,f23_lon,f23_alt_ft,f24_lat,f24_lon,f24_alt_ft,f25_lat,f25_lon,f25_alt_ft
6000,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
6600,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.41650000000012,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
7200,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
7800,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4164999999999,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
8400,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
9000,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.416499999999914,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
9600,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
10200,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.416499999999914,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
10800,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
11400,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.41650000000013,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
12000,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
12600,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.416499999999935,-82.60929999999992,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
13200,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
13800,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.41649999999992,-82.60929999999992,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
14400,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
15000,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.41650000000022,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
15600,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.87180481222802,-86.33200477447754,35000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
16200,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.73749999999999,-85.61200477447754,25000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.41649999999985,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
16800,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.7375,-84.8973,15000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
17400,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.7375,-84.1773,17000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.416499999999786,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
18000,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.7375,-84.1773,17000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
18600,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.737499999999955,-84.17729999999993,17000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.41649999999985,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
19200,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.7375,-84.1773,17000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
19800,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.737499999999955,-84.17729999999993,17000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.41649999999992,-82.60929999999992,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
20400,42.51465834007257,-80.36904368079536,31633.6326876871,40.50556,-85.62667,31900.0,42.980072111706384,-86.25016320267274,25000.0,43.335463038667235,-86.13405145303786,31000.0,39.72775887326741,-81.6737038473906,32000.0,40.53083,-85.64083,29300.0,42.20306,-85.53722,2700.0,39.39689375178773,-82.32856757995995,34042.42499284907,43.3119378771412,-86.14249638029663,31000.0,43.08043979538153,-80.48184494087386,30839.867738552388,43.14333,-86.20283554065244,25000.0,40.69650863073345,-80.76881259892107,18000.0,41.7375,-84.1773,17000.0,43.61426973431964,-86.00506369438156,25000.0,40.505,-85.66833,29500.0,39.47175308494507,-82.14025001051786,35501.6614671549,42.95225280593826,-80.44966189445813,26000.0,40.49139,-85.68306,31000.0,39.53442701729151,-82.0077444006968,33725.42807371526,42.51437072174892,-80.36900118630447,31225.192091303543,42.4165,-82.60929999999996,8000.0,42.72839048632175,-80.40072036968238,28000.0,42.96667,-80.795,26700.0,42.514524242286974,-80.36902387826856,30369.913468937037,42.728090982247146,-80.40067582986097,30000.0
