t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft
6000,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
6600,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.4164999999998,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
7200,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
7800,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.416499999999786,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
8400,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
9000,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.41649999999973,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
9600,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
10200,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.41649999999967,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
10800,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
11400,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.25726093444073,-80.5128711526116,26000.0,42.41649999999959,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
12000,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,41.643608026402305,-81.21168110224286,20000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
12600,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.02995511836411,-81.91049105187415,10000.0,42.41649999999954,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
13200,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.4165,-82.60929999999996,8000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
13800,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.4165,-82.60929999999996,8000.0,42.41649999999941,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
14400,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.41649999999992,-82.60929999999996,8000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,40.01444,-84.74861,29000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
15000,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.4165,-82.60929999999996,8000.0,42.416499999999324,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,41.737499999999976,-84.17730000000005,19000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
15600,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.41649999999989,-82.60929999999996,8000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.87833,-85.45139,2600.0,41.7375,-84.1773,19000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,41.39833,-81.93389,3100.0
16200,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.4165,-82.60929999999996,8000.0,42.41649999999906,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,42.85654901622827,-84.7417,10000.0,41.73749999999994,-84.17730000000006,19000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,42.416499999999985,-82.60929999999996,8000.0
16800,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.416499999999864,-82.60929999999996,8000.0,42.4165,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,41.9183,-84.0217,8000.0,41.7375,-84.1773,19000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,42.4165,-82.60929999999996,8000.0
17400,40.42386318225868,-85.75708858022136,30809.94008446692,39.471928932690965,-82.13987919833268,36370.00531283437,39.47205927101589,-82.13960435159959,33000.0,42.4165,-82.60929999999996,8000.0,42.41649999999906,-82.60929999999996,8000.0,39.47196530123279,-82.13980259697075,33000.0,40.4975,-85.67639,32900.0,39.32131356227871,-82.56420521611844,35000.0,42.95290215287274,-80.4498223247169,20000.0,41.91829999999994,-84.02170000000004,8000.0,41.73749999999988,-84.17730000000009,19000.0,43.08023501885609,-80.48179275878633,30600.754166188017,43.294074706420055,-86.14890431129369,33000.0,42.96667,-80.795,26700.0,43.080485356324296,-80.48185539415572,30114.73089865459,40.69475370909346,-80.76986511336376,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,43.335463038667235,-86.13405145303786,31000.0,43.08041453187901,-80.48183794799729,28497.07388501836,42.416499999999914,-82.60929999999996,8000.0
